City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iskateley,67.6803,53.1512,3.81,82,11,7.19,RU,1695349488
1,olonkinbyen,70.9221,-8.7187,2.1,92,96,6.52,SJ,1695349488
2,haiku-pauwela,20.9219,-156.3051,25.28,78,75,8.75,US,1695349489
3,ribeira grande,38.5167,-28.7,21.54,77,42,5.81,PT,1695349489
4,basse-terre,16.1667,-61.6667,23.58,94,0,0.0,GP,1695349490
5,strathalbyn,-35.2667,138.9,19.39,60,3,2.79,AU,1695349490
6,carnarvon,-24.8667,113.6333,21.18,67,0,5.18,AU,1695349490
7,sungjibaegam,41.2428,128.7989,14.31,43,0,4.04,KP,1695349491
8,edinburgh of the seven seas,-37.0676,-12.3116,11.42,67,54,11.16,SH,1695349491
9,tiksi,71.6872,128.8694,2.23,65,97,7.3,RU,1695349491
10,vila velha,-20.3297,-40.2925,22.19,88,20,1.54,BR,1695349492
11,vorgashor,67.5833,63.95,2.29,86,100,8.33,RU,1695349492
12,hit,33.6416,42.8251,29.36,15,0,3.29,IQ,1695349493
13,igarka,67.4667,86.5833,8.07,93,100,6.82,RU,1695349493
14,grytviken,-54.2811,-36.5092,-1.11,95,100,6.01,GS,1695349494
15,whitehorse,60.7161,-135.0538,8.78,85,100,4.12,CA,1695349494
16,lompoc,34.6391,-120.4579,17.74,77,0,1.54,US,1695349495
17,bethel,41.3712,-73.414,15.36,85,0,0.0,US,1695348718
18,bikenibeu village,1.3673,173.1241,31.98,66,40,6.17,KI,1695349496
19,wailea,19.8858,-155.123,26.57,73,40,2.57,US,1695349496
20,posto fiscal rolim de moura,-13.0833,-62.2667,29.68,41,51,1.43,BR,1695349497
21,port-aux-francais,-49.35,70.2167,2.05,74,69,10.37,TF,1695349497
22,ushuaia,-54.8,-68.3,0.81,69,0,1.54,AR,1695349286
23,al jubayl,27.0112,49.6583,31.64,45,24,5.74,SA,1695349498
24,bilibino,68.0546,166.4372,4.62,67,100,0.83,RU,1695349498
25,east london,-33.0153,27.9116,16.56,62,2,2.85,ZA,1695349499
26,tralee,52.2704,-9.7026,10.82,88,88,6.61,IE,1695349499
27,yellowknife,62.456,-114.3525,14.29,70,75,1.54,CA,1695349500
28,adamstown,-25.066,-130.1015,20.83,89,100,4.79,PN,1695349500
29,salaqi,40.5414,110.5108,19.43,39,25,6.33,CN,1695349500
30,hovd,48.0056,91.6419,10.93,55,8,0.48,MN,1695349501
31,constantia,44.1833,28.65,17.61,70,74,5.12,RO,1695349446
